Date,Airline,Port_Country,Passengers_In,Freight_In_(tonnes),Mail_In_(tonnes),Passengers_Out,Freight_Out_(tonnes),Mail_Out_(tonnes),Year,Month_num,Flight_num
1/1/1985,Air China,China,1311,9.158,0,1232,2.587,0,1985,1,A020
1/1/1985,Air India,India,1423,44.823,0,970,6.708,0,1985,1,A036
1/1/1985,Air India,Singapore,501,10.583,0,306,124.966,0,1985,1,A036
1/1/1985,Air New Zealand,New Zealand,24588,873.066,0.374,20692,348.74,0.122,1985,1,A042
1/1/1985,Alitalia,India,196,6.719,0,328,4.897,0,1985,1,A059
1/1/1985,Alitalia,Italy,2141,101.234,0,1818,36.951,0,1985,1,A059
1/1/1985,Alitalia,Singapore,555,14.999,0,491,107.258,0,1985,1,A059
1/1/1985,Alitalia,Thailand,206,2.803,0,81,5.077,0,1985,1,A059
1/1/1985,British Airways,Brunei,129,0.2,0,114,56.1,0,1985,1,A135
1/1/1985,British Airways,India,333,2.9,0,269,6.8,0,1985,1,A135
1/1/1985,British Airways,Malaysia,279,0.8,0,292,27.5,0,1985,1,A135
1/1/1985,British Airways,New Zealand,2166,69.4,0,1872,22.7,0,1985,1,A135
1/1/1985,British Airways,Oman,399,0.3,0,331,84.1,0,1985,1,A135
1/1/1985,British Airways,Singapore,3511,51.2,0,3093,288.6,0,1985,1,A135
1/1/1985,British Airways,UK,7032,229.4,0,6190,66,0,1985,1,A135
1/1/1985,British Airways,United Arab Emirates,347,0.1,0,140,48.9,0,1985,1,A135
1/1/1985,Garuda Indonesia,Indonesia,8738,226.774,0,8452,280.562,0,1985,1,A121
1/1/1985,Japan Airlines,Japan,3651,116.544,0,3446,100.812,0,1985,1,A147
1/1/1985,Malaysia Airlines,Malaysia,7205,251.166,1.677,6492,357.492,0.951,1985,1,A186
1/1/1985,Philippine Airlines,Philippines,4762,185.063,0,3817,87.223,0,1985,1,A199
1/1/1985,Qantas Airways,Bahrain,278,1.134,0.42,236,36.24,2.356,1985,1,A201
1/1/1985,Qantas Airways,Canada,541,1.391,0,451,4.023,2.699,1985,1,A201
1/1/1985,Qantas Airways,China,1118,8.986,0.177,993,1.782,0.007,1985,1,A201
1/1/1985,Qantas Airways,Cyprus,57,0,0,0,0,0,1985,1,A201
1/1/1985,Qantas Airways,Fiji,6767,27.827,0.053,4637,56.297,1.385,1985,1,A201
1/1/1985,Qantas Airways,Germany,1641,159.348,7.256,1977,14.348,12.844,1985,1,A201
1/1/1985,Qantas Airways,Greece,1370,4.187,4.261,587,3.611,3.364,1985,1,A201
1/1/1985,Qantas Airways,Hong Kong,9471,202.045,1.474,5625,235.498,5.796,1985,1,A201
1/1/1985,Qantas Airways,India,314,4.022,0.789,301,1.844,1.777,1985,1,A201
1/1/1985,Qantas Airways,Indonesia,4506,51.921,0.953,4607,20.481,0.853,1985,1,A201
1/1/1985,Qantas Airways,Italy,1694,16.062,3.997,1270,1.441,3.264,1985,1,A201
1/1/1985,Qantas Airways,Japan,3117,245.954,16.594,3299,118.705,6.655,1985,1,A201
1/1/1985,Qantas Airways,Netherlands,952,22.642,0.984,656,6.796,6.501,1985,1,A201
1/1/1985,Qantas Airways,New Caledonia,1624,2.349,0.199,992,24.524,0.323,1985,1,A201
1/1/1985,Qantas Airways,New Zealand,38593,1201.639,18.068,29406,403.958,60.363,1985,1,A201
1/1/1985,Qantas Airways,Papua New Guinea,2614,35.404,2.761,2508,63.664,11.617,1985,1,A201
1/1/1985,Qantas Airways,Philippines,2916,86.732,0.233,1195,28.013,1.529,1985,1,A201
1/1/1985,Qantas Airways,Singapore,16470,141.99,10.381,11235,827.796,7.769,1985,1,A201
1/1/1985,Qantas Airways,Tahiti,1250,0.861,0.152,1143,34.34,0.791,1985,1,A201
1/1/1985,Qantas Airways,Thailand,1230,10.688,0.531,1119,19.026,1.606,1985,1,A201
1/1/1985,Qantas Airways,UK,9645,330.829,6.78,8058,45.408,46.93,1985,1,A201
1/1/1985,Qantas Airways,USA,13980,486.717,0.01,9486,354.375,45.246,1985,1,A201
1/1/1985,Qantas Airways,Vanuatu,832,0.533,0,430,8.258,0,1985,1,A201
1/1/1985,Qantas Airways,Yugoslavia,740,0.296,0.864,196,0.606,0.284,1985,1,A201
1/1/1985,Qantas Airways,Zimbabwe,1215,3.746,0,1164,7.66,0.269,1985,1,A201
1/1/1985,Singapore Airlines,Singapore,15441,517.573,0,13230,871.734,0,1985,1,A225
1/1/1985,South African Airways,Mauritius,223,6.866,0,161,1.525,0,1985,1,A231
1/1/1985,South African Airways,South Africa,1173,21.673,0,1186,21.029,0,1985,1,A231
1/2/1985,Air China,China,955,9.427,0,1000,0.712,0,1985,2,A020
1/2/1985,Air India,India,1271,38.107,0,1043,7.712,0,1985,2,A036
1/2/1985,Air India,Singapore,411,18.117,0,239,122.574,0,1985,2,A036
1/2/1985,Air New Zealand,New Zealand,21232,1265.402,0.59,20838,644.965,0.119,1985,2,A042
1/2/1985,Alitalia,India,305,15.35,0,143,1.261,0,1985,2,A059
1/2/1985,Alitalia,Italy,1948,107.304,0,1534,44.618,0,1985,2,A059
