Year,Miles,Airline,FlightNum
1995,"45,845",American,A281
1996,"45,358",American,A281
1997,"45,652",American,A281
1998,"48,555",American,A281
1999,"50,405",American,A281
2000,"51,617",American,A281
2001,"49,111",American,A281
2002,"47,426",American,A281
2003,"48,727",American,A281
2004,"56,212",American,A281
2005,"60,967",American,A281
2006,"62,601",American,A281
2007,"61,350",American,A281
2008,"61,681",American,A281
2009,"58,812",American,A281
2010,"60,072",American,A281
2011,"62,694",American,A281
2012,"62,778",American,A281
2013,"65,233",American,A281
2014,"68,173",American,A281
2015,"89,790",American,A281
2016,"91,079",American,A281
2017,"94,643",American,A281
2018,"95,877",American,A281
2019,"94,471",American,A281
1995,"8,627",Continental,A282
1996,"10,052",Continental,A282
1997,"14,990",Continental,A282
1998,"20,502",Continental,A282
1999,"26,110",Continental,A282
2000,"29,101",Continental,A282
2001,"27,362",Continental,A282
2002,"26,889",Continental,A282
2003,"27,418",Continental,A282
2004,"31,218",Continental,A282
2005,"35,239",Continental,A282
2006,"40,488",Continental,A282
2007,"43,635",Continental,A282
2008,"46,169",Continental,A282
2009,"44,904",Continental,A282
2010,"46,207",Continental,A282
2011,"49,729",Continental,A282
2012, -   ,Continental,A282
2013, -   ,Continental,A282
2014, -   ,Continental,A282
2015, -   ,Continental,A282
2016, -   ,Continental,A282
2017, -   ,Continental,A282
2018, -   ,Continental,A282
2019, -   ,Continental,A282
1995,"30,152",Delta,A283
1996,"28,199",Delta,A283
1997,"28,462",Delta,A283
1998,"31,906",Delta,A283
1999,"32,172",Delta,A283
2000,"33,560",Delta,A283
2001,"34,143",Delta,A283
2002,"31,605",Delta,A283
2003,"27,387",Delta,A283
2004,"31,445",Delta,A283
2005,"35,349",Delta,A283
2006,"42,693",Delta,A283
2007,"49,283",Delta,A283
2008,"56,342",Delta,A283
2009,"55,159",Delta,A283
2010,"90,687",Delta,A283
2011,"94,673",Delta,A283
2012,"92,106",Delta,A283
2013,"92,543",Delta,A283
2014,"95,757",Delta,A283
2015,"96,958",Delta,A283
2016,"95,356",Delta,A283
2017,"94,710",Delta,A283
2018,"96,035",Delta,A283
2019,"98,986",Delta,A283
1995,"34,368",Northwest,A284
1996,"37,391",Northwest,A284
1997,"39,246",Northwest,A284
1998,"37,166",Northwest,A284
1999,"39,096",Northwest,A284
2000,"41,723",Northwest,A284
2001,"39,665",Northwest,A284
2002,"37,222",Northwest,A284
2003,"34,409",Northwest,A284
2004,"35,265",Northwest,A284
2005,"36,630",Northwest,A284
2006,"34,819",Northwest,A284
2007,"36,548",Northwest,A284
2008,"39,257",Northwest,A284
2009,"34,175",Northwest,A284
2010, -   ,Northwest,A284
2011, -   ,Northwest,A284
2012, -   ,Northwest,A284
2013, -   ,Northwest,A284
2014, -   ,Northwest,A284
2015, -   ,Northwest,A284
2016, -   ,Northwest,A284
2017, -   ,Northwest,A284
2018, -   ,Northwest,A284
2019, -   ,Northwest,A284
1995,"58,225",United,A285
1996,"59,990",United,A285
1997,"63,745",United,A285
1998,"64,030",United,A285
1999,"61,832",United,A285
2000,"65,465",United,A285
2001,"64,014",United,A285
2002,"54,444",United,A285
2003,"47,839",United,A285
2004,"51,974",United,A285
2005,"56,401",United,A285
2006,"56,289",United,A285
2007,"57,930",United,A285
2008,"58,465",United,A285
2009,"53,403",United,A285
2010,"54,391",United,A285
2011,"56,659",United,A285
2012,"105,674",United,A285
2013,"104,570",United,A285
2014,"106,788",United,A285
2015,"109,595",United,A285
2016,"110,594",United,A285
2017,"112,761",United,A285
2018,"115,984",United,A285
2019,"119,382",United,A285
1995,"3,009",US Airways,A286
1996,"4,142",US Airways,A286
1997,"5,204",US Airways,A286
1998,"5,881",US Airways,A286
1999,"6,869",US Airways,A286
2000,"8,782",US Airways,A286
2001,"10,876",US Airways,A286
2002,"10,728",US Airways,A286
2003,"12,044",US Airways,A286
2004,"13,549",US Airways,A286
2005,"13,332",US Airways,A286
2006,"14,406",US Airways,A286
2007,"15,288",US Airways,A286
2008,"16,065",US Airways,A286
2009,"17,471",US Airways,A286
2010,"18,882",US Airways,A286
2011,"19,446",US Airways,A286
2012,"19,701",US Airways,A286
2013,"20,502",US Airways,A286
2014,"21,266",US Airways,A286
2015, -   ,US Airways,A286
2016, -   ,US Airways,A286
2017, -   ,US Airways,A286
2018, -   ,US Airways,A286
2019, -   ,US Airways,A286
1995,247,America West,A287
1996,687,America West,A287
1997,764,America West,A287
1998,673,America West,A287
1999,506,America West,A287
2000,508,America West,A287
2001,566,America West,A287
2002,789,America West,A287
2003,946,America West,A287
2004,984,America West,A287
2005,"1,150",America West,A287
2006, -   ,America West,A287
2007, -   ,America West,A287
2008, -   ,America West,A287
2009, -   ,America West,A287
2010, -   ,America West,A287
2011, -   ,America West,A287
2012, -   ,America West,A287
2013, -   ,America West,A287
2014, -   ,America West,A287
2015, -   ,America West,A287
