Year,Total Operating Fleet,Airline,FlightNum,Dates
1995,649,American,A281,1/1/1995
1996,647,American,A281,1/1/1996
1997,643,American,A281,1/1/1997
1998,642,American,A281,1/1/1998
1999,674,American,A281,1/1/1999
2000,708,American,A281,1/1/2000
2001,711,American,A281,1/1/2001
2002,818,American,A281,1/1/2002
2003,755,American,A281,1/1/2003
2004,695,American,A281,1/1/2004
2005,708,American,A281,1/1/2005
2006,685,American,A281,1/1/2006
2007,660,American,A281,1/1/2007
2008,648,American,A281,1/1/2008
2009,606,American,A281,1/1/2009
2010,614,American,A281,1/1/2010
2011,615,American,A281,1/1/2011
2012,606,American,A281,1/1/2012
2013,612,American,A281,1/1/2013
2014,627,American,A281,1/1/2014
2015,972,American,A281,1/1/2015
2016,936,American,A281,1/1/2016
2017,947,American,A281,1/1/2017
2018,925,American,A281,1/1/2018
2019,848,American,A281,1/1/2019
1995,300,Continental,A282,1/1/1995
1996,294,Continental,A282,1/1/1996
1997,313,Continental,A282,1/1/1997
1998,338,Continental,A282,1/1/1998
1999,355,Continental,A282,1/1/1999
2000,360,Continental,A282,1/1/2000
2001,357,Continental,A282,1/1/2001
2002,352,Continental,A282,1/1/2002
2003,339,Continental,A282,1/1/2003
2004,343,Continental,A282,1/1/2004
2005,336,Continental,A282,1/1/2005
2006,349,Continental,A282,1/1/2006
2007,353,Continental,A282,1/1/2007
2008,358,Continental,A282,1/1/2008
2009,337,Continental,A282,1/1/2009
2010,325,Continental,A282,1/1/2010
2011,344,Continental,A282,1/1/2011
2012, -   ,Continental,A282,1/1/2012
2013, -   ,Continental,A282,1/1/2013
2014, -   ,Continental,A282,1/1/2014
2015, -   ,Continental,A282,1/1/2015
2016,,Continental,A282,1/1/2016
2017,,Continental,A282,1/1/2017
2018,,Continental,A282,1/1/2018
2019,,Continental,A282,1/1/2019
1995,537,Delta,A283,1/1/1995
1996,533,Delta,A283,1/1/1996
1997,552,Delta,A283,1/1/1997
1998,562,Delta,A283,1/1/1998
1999,581,Delta,A283,1/1/1999
2000,600,Delta,A283,1/1/2000
2001,625,Delta,A283,1/1/2001
2002,597,Delta,A283,1/1/2002
2003,533,Delta,A283,1/1/2003
2004,422,Delta,A283,1/1/2004
2005,427,Delta,A283,1/1/2005
2006,371,Delta,A283,1/1/2006
2007,435,Delta,A283,1/1/2007
2008,431,Delta,A283,1/1/2008
2009,437,Delta,A283,1/1/2009
2010,722,Delta,A283,1/1/2010
2011,710,Delta,A283,1/1/2011
2012,707,Delta,A283,1/1/2012
2013,713,Delta,A283,1/1/2013
2014,748,Delta,A283,1/1/2014
2015,787,Delta,A283,1/1/2015
2016,809,Delta,A283,1/1/2016
2017,838,Delta,A283,1/1/2017
2018,858,Delta,A283,1/1/2018
2019,884,Delta,A283,1/1/2019
1995,370,Northwest,A284,1/1/1995
1996,392,Northwest,A284,1/1/1996
1997,399,Northwest,A284,1/1/1997
1998,412,Northwest,A284,1/1/1998
1999,414,Northwest,A284,1/1/1999
2000,420,Northwest,A284,1/1/2000
2001,435,Northwest,A284,1/1/2001
2002,444,Northwest,A284,1/1/2002
2003,429,Northwest,A284,1/1/2003
2004,434,Northwest,A284,1/1/2004
2005,420,Northwest,A284,1/1/2005
2006,373,Northwest,A284,1/1/2006
2007,370,Northwest,A284,1/1/2007
2008,338,Northwest,A284,1/1/2008
2009,303,Northwest,A284,1/1/2009
2010, -   ,Northwest,A284,1/1/2010
2011, -   ,Northwest,A284,1/1/2011
2012, -   ,Northwest,A284,1/1/2012
2013, -   ,Northwest,A284,1/1/2013
2014, -   ,Northwest,A284,1/1/2014
2015, -   ,Northwest,A284,1/1/2015
2016, -   ,Northwest,A284,1/1/2016
2017, -   ,Northwest,A284,1/1/2017
2018, -   ,Northwest,A284,1/1/2018
2019, -   ,Northwest,A284,1/1/2019
1995,553,United,A285,1/1/1995
1996,561,United,A285,1/1/1996
1997,569,United,A285,1/1/1997
1998,573,United,A285,1/1/1998
1999,587,United,A285,1/1/1999
2000,601,United,A285,1/1/2000
2001,597,United,A285,1/1/2001
2002,556,United,A285,1/1/2002
2003,551,United,A285,1/1/2003
2004,519,United,A285,1/1/2004
2005,462,United,A285,1/1/2005
2006,460,United,A285,1/1/2006
2007,453,United,A285,1/1/2007
2008,445,United,A285,1/1/2008
2009,382,United,A285,1/1/2009
2010,360,United,A285,1/1/2010
2011,358,United,A285,1/1/2011
2012,697,United,A285,1/1/2012
2013,698,United,A285,1/1/2013
2014,697,United,A285,1/1/2014
2015,708,United,A285,1/1/2015
2016,724,United,A285,1/1/2016
2017,744,United,A285,1/1/2017
2018,757,United,A285,1/1/2018
2019,770,United,A285,1/1/2019
1995,379,US Airways,A286,1/1/1995
1996,391,US Airways,A286,1/1/1996
1997,385,US Airways,A286,1/1/1997
1998,370,US Airways,A286,1/1/1998
1999,382,US Airways,A286,1/1/1999
2000,397,US Airways,A286,1/1/2000
2001,307,US Airways,A286,1/1/2001
2002,305,US Airways,A286,1/1/2002
2003,276,US Airways,A286,1/1/2003
2004,289,US Airways,A286,1/1/2004
2005,287,US Airways,A286,1/1/2005
2006,375,US Airways,A286,1/1/2006
2007,359,US Airways,A286,1/1/2007
2008,359,US Airways,A286,1/1/2008
2009,352,US Airways,A286,1/1/2009
2010,343,US Airways,A286,1/1/2010
2011,339,US Airways,A286,1/1/2011
2012,342,US Airways,A286,1/1/2012
2013,344,US Airways,A286,1/1/2013
2014,342,US Airways,A286,1/1/2014
2015, -   ,US Airways,A286,1/1/2015
2016, -   ,US Airways,A286,1/1/2016
2017, -   ,US Airways,A286,1/1/2017
2018, -   ,US Airways,A286,1/1/2018
2019, -   ,US Airways,A286,1/1/2019
1995,90,America West,A287,1/1/1995
1996,98,America West,A287,1/1/1996
1997,101,America West,A287,1/1/1997
1998,104,America West,A287,1/1/1998
1999,115,America West,A287,1/1/1999
2000,129,America West,A287,1/1/2000
2001,143,America West,A287,1/1/2001
2002,107,America West,A287,1/1/2002
2003,141,America West,A287,1/1/2003
2004,139,America West,A287,1/1/2004
2005,140,America West,A287,1/1/2005
2006,136,America West,A287,1/1/2006
2007,97,America West,A287,1/1/2007
2008, -   ,America West,A287,1/1/2008
2009, -   ,America West,A287,1/1/2009
2010, -   ,America West,A287,1/1/2010
2011, -   ,America West,A287,1/1/2011
2012, -   ,America West,A287,1/1/2012
2013, -   ,America West,A287,1/1/2013
2014, -   ,America West,A287,1/1/2014
2015, -   ,America West,A287,1/1/2015
2016, -   ,America West,A287,1/1/2016
2017, -   ,America West,A287,1/1/2017
2018, -   ,America West,A287,1/1/2018
2019, -   ,America West,A287,1/1/2019
1995,251,Southwest,A288,1/1/1995
1996,229,Southwest,A288,1/1/1996
1997,249,Southwest,A288,1/1/1997
1998,261,Southwest,A288,1/1/1998
1999,291,Southwest,A288,1/1/1999
2000,325,Southwest,A288,1/1/2000
2001,354,Southwest,A288,1/1/2001
2002,365,Southwest,A288,1/1/2002
2003,380,Southwest,A288,1/1/2003
2004,404,Southwest,A288,1/1/2004
2005,432,Southwest,A288,1/1/2005
2006,462,Southwest,A288,1/1/2006
2007,500,Southwest,A288,1/1/2007
2008,535,Southwest,A288,1/1/2008
2009,541,Southwest,A288,1/1/2009
2010,543,Southwest,A288,1/1/2010
2011,554,Southwest,A288,1/1/2011
2012,621,Southwest,A288,1/1/2012
2013,601,Southwest,A288,1/1/2013
2014,623,Southwest,A288,1/1/2014
2015,673,Southwest,A288,1/1/2015
2016,705,Southwest,A288,1/1/2016
2017,712,Southwest,A288,1/1/2017
2018,722,Southwest,A288,1/1/2018
2019,734,Southwest,A288,1/1/2019
1995, -   ,jetBlue,A155,1/1/1995
1996, -   ,jetBlue,A155,1/1/1996
1997, -   ,jetBlue,A155,1/1/1997
1998, -   ,jetBlue,A155,1/1/1998
1999, -   ,jetBlue,A155,1/1/1999
2000,5,jetBlue,A155,1/1/2000
2001,16,jetBlue,A155,1/1/2001
2002,27,jetBlue,A155,1/1/2002
2003,43,jetBlue,A155,1/1/2003
2004,60,jetBlue,A155,1/1/2004
2005,77,jetBlue,A155,1/1/2005
2006,106,jetBlue,A155,1/1/2006
2007,128,jetBlue,A155,1/1/2007
2008,175,jetBlue,A155,1/1/2008
2009,148,jetBlue,A155,1/1/2009
2010,153,jetBlue,A155,1/1/2010
2011,165,jetBlue,A155,1/1/2011
2012,174,jetBlue,A155,1/1/2012
2013,185,jetBlue,A155,1/1/2013
2014,196,jetBlue,A155,1/1/2014
